,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
59,60,Ja'Marr Chase,WR25,CIN,10,0,0,0,52,0.4,67,950,5.9,204.9,64.2,0
60,61,Chase Edmonds,RB26,ARI,12,0,0,0,579,5,41,329,1.9,172.9,63.6,0
61,62,Javonte Williams,RB27,DEN,11,0,0,0,857,6.4,25,197,0.6,172.5,63.2,0
62,63,Myles Gaskin,RB28,MIA,14,0,0,0,644,2.7,45,364,1.7,172.2,62.9,0
63,64,Chase Claypool,WR26,PIT,7,12,0.2,0,44,0.4,64,882,7.1,202.6,61.9,0
64,65,Raheem Mostert,RB29,SF,6,0,0,0,683,5.9,30,243,2,169.8,60.5,0
65,66,Kenyan Drake,RB30,LV,8,9,0.1,0,528,3.6,46,397,1.4,169.6,60.3,0
66,67,Melvin Gordon III,RB31,DEN,11,8,0.2,0,823,6.2,28,166,0.6,168.6,59.3,0
67,68,T.J. Hockenson,TE4,DET,9,0,0,0,0,0,68,761,5.8,178.9,57.8,0
68,69,Aaron Rodgers,QB8,GB,13,4359,34,9.1,143,1.7,0,0,0,316.7,57.3,0
69,70,James Conner,RB32,ARI,12,0,0,0,620,7.2,30,227,1.4,166.3,57,0
70,71,Trey Sermon,RB33,SF,6,0,0,0,733,6.1,25,205,1.7,165.5,56.2,0
71,72,Jalen Hurts,QB9,PHI,14,3602,21.6,11.6,704,5.7,1,8,0.2,314.8,55.8,0
72,73,Jerry Jeudy,WR27,DEN,11,8,0.2,0,16,0.1,65,939,5.6,196.1,55.4,0
73,74,Odell Beckham Jr.,WR28,CLE,13,0,0,0,7,0.1,68,911,5.6,194.3,53.6,0
74,75,Mark Andrews,TE5,BAL,8,0,0,0,0,0,60,722,6.6,172,51.6,0
75,76,Kenny Golladay,WR29,NYG,10,28,0.4,0,8,0.2,67,863,5.6,191.4,50.7,0
76,77,Tom Brady,QB10,TB,9,4630,34.4,12.8,7,1.6,0,0,0,307.5,49.9,0
77,78,Laviska Shenault Jr.,WR30,JAC,7,0,0,0,93,0.6,65,776,5.5,188.2,47.5,0
78,79,Jarvis Landry,WR31,CLE,13,49,0.5,0.1,20,0.3,69,849,4.3,187.4,46.7,0
79,80,Tyler Boyd,WR32,CIN,10,0,0,0,22,0.2,74,817,4.7,187.1,46.4,0
80,80,AJ Dillon,RB34,GB,13,0,0,0,680,5,28,209,1.4,155.7,46.4,0
81,82,Kyle Pitts,TE6,ATL,6,0,0,0,0,0,57,733,5.8,165.3,45.5,0
82,83,Brandin Cooks,WR33,HOU,10,14,0.2,0,6,0,73,845,4.4,185.4,44.7,0
83,84,Robby Anderson,WR34,CAR,13,0,0,0,38,0.4,67,835,4.7,184.8,44.1,0
84,85,JuJu Smith-Schuster,WR35,PIT,7,0,0,0,4,0.1,73,778,5.3,183.5,42.8,0
85,86,Courtland Sutton,WR36,DEN,11,0,0,0,0,0,60,880,5.9,183.1,42.4,0
86,87,Matthew Stafford,QB11,LAR,11,4633,28.8,12.2,93,1.8,0,0,0,296.2,40.9,0
87,88,Ronald Jones II,RB35,TB,9,0,0,0,813,6.7,16,107,0.3,149.8,40.5,0
88,89,Devin Singletary,RB36,BUF,7,0,0,0,603,2.8,39,249,1.3,148.9,39.6,0
89,90,Deebo Samuel,WR37,SF,6,13,0.3,0,66,0.7,65,746,4.6,179.4,38.7,0
90,91,Michael Thomas,WR38,NO,6,0,0,0,0,0,67,814,4.7,176.8,36.1,0
91,92,Cole Beasley,WR39,BUF,7,0,0,0,4,0.1,71,798,4.2,176.4,35.7,0
92,92,Nyheim Hines,RB37,IND,14,0,0,0,365,1.9,50,366,1.7,145,35.7,0
93,94,Ryan Tannehill,QB12,TEN,13,3998,26.3,11.6,210,4.1,1,9,0.1,289.6,35.6,0
94,95,Matt Ryan,QB13,ATL,6,4514,26.6,12.1,133,2.2,0,0,0,289.3,35.4,0
95,96,Leonard Fournette,RB38,TB,9,0,0,0,607,4.4,30,223,0.8,144.5,35.2,0
96,97,Corey Davis,WR40,NYJ,6,0,0,0,9,0.1,61,843,4.7,175.4,34.7,0
97,98,Tyler Higbee,TE7,LAR,11,0,0,0,4,0.3,59,660,4.3,153.1,34.5,0
98,99,Will Fuller V,WR41,MIA,14,13,0.3,0,0,0,60,860,4.4,174.3,33.6,0
99,99,Mecole Hardman,WR41,KC,12,0,0,0,41,0,61,816,4.6,174.3,33.6,0
100,101,Jamaal Williams,RB39,DET,9,0,0,0,558,4.1,31,239,1.2,142.1,32.8,0
101,102,DJ Chark Jr.,WR43,JAC,7,0,0,0,0,0,59,852,4.8,172.9,32.2,0
