,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
258,259,Teddy Bridgewater,QB29,DEN,11,3430,20.8,11.9,164,2.1,0,0,0,225.6,-19.5,0
259,260,Jacksonville Jaguars,DST28,JAC,7,--,--,--,--,--,--,--,--,87.3,-19.6,0
260,261,Tyler Kroft,TE32,NYJ,6,0,0,0,0,0,35,384,3.4,94,-20.7,0
261,262,Demarcus Robinson,WR80,KC,12,0,0,0,0,0,41,488,5,119.9,-20.8,0
262,262,Tyler Conklin,TE33,MIN,7,0,0,0,0,0,34,386,3.5,93.9,-20.8,0
263,264,Sam Darnold,QB30,CAR,13,3621,19.9,14.6,155,2.2,0,0,0,223.9,-21.2,0
264,265,Austin Seibert,K32,DET,9,--,--,--,--,--,--,--,--,107.3,-21.4,0
265,266,A.J. Green,WR81,ARI,12,0,0,0,0,0,45,524,3.6,119.2,-21.5,0
266,267,Wayne Gallman,RB63,ATL,6,0,0,0,441,3.2,13,90,0.3,87.4,-21.9,0
267,268,Jalen Guyton,WR82,LAC,7,0,0,0,25,0.6,42,539,2.7,118.1,-22.6,0
268,269,Cordarrelle Patterson,RB64,ATL,6,0,0,0,304,2.2,23,171,0.4,86,-23.3,0
269,270,Amon-Ra St. Brown,WR83,DET,9,0,0,0,4,0,46,533,2.9,117.3,-23.4,0
270,271,Olamide Zaccheaus,WR84,ATL,6,0,0,0,12,0,49,490,3,117.2,-23.5,0
271,272,Benny Snell Jr.,RB65,PIT,7,0,0,0,363,3,17,116,0.4,85.3,-24,0
272,273,Jack Doyle,TE34,IND,14,0,0,0,0,0,32,385,3.3,90.4,-24.3,0
273,273,Marquez Valdes-Scantling,WR85,GB,13,0,0,0,14,0,41,549,3.2,116.4,-24.3,0
274,275,Kenneth Gainwell,RB66,PHI,14,0,0,0,305,2.1,21,167,0.7,84.9,-24.4,0
275,276,Van Jefferson,WR86,LAR,11,0,0,0,7,0,44,568,2.4,116.2,-24.5,0
276,277,Jared Goff,QB31,DET,9,3545,21.5,14.7,140,1.1,0,0,0,219,-26.1,0
277,278,Devontae Booker,RB67,NYG,10,0,0,0,315,2.4,16,112,1.4,81.7,-27.6,0
278,279,Darius Slayton,WR87,NYG,10,0,0,0,8,0.1,44,528,2.5,113,-27.7,0
279,280,Samaje Perine,RB68,CIN,10,0,0,0,266,2,21,155,0.8,80.2,-29.1,0
280,280,D'Wayne Eskridge,WR88,SEA,9,0,0,0,36,0,39,448,4.1,111.6,-29.1,0
281,282,O.J. Howard,TE35,TB,9,0,0,0,0,0,33,325,3.3,85.2,-29.5,0
282,282,DeeJay Dallas,RB69,SEA,9,0,0,0,193,1.1,26,192,1.5,79.8,-29.5,0
283,284,Mark Ingram II,RB70,HOU,10,0,0,0,407,2.8,11,77,0.5,79.5,-29.8,0
284,285,Detroit Lions,DST29,DET,9,--,--,--,--,--,--,--,--,76.8,-30.1,0
285,286,Harrison Bryant,TE36,CLE,13,0,0,0,0,0,30,312,3.7,83.1,-31.6,0
286,287,Houston Texans,DST30,HOU,10,--,--,--,--,--,--,--,--,74.5,-32.4,0
287,287,Jimmy Graham,TE37,CHI,10,0,0,0,0,0,32,337,2.7,82.3,-32.4,0
288,289,Rashard Higgins,WR89,CLE,13,0,0,0,0,0,35,554,2.9,107.5,-33.2,0
289,290,Jordan Akins,TE38,HOU,10,0,0,0,0,0,34,345,2.1,80.8,-33.9,0
290,291,Cincinnati Bengals,DST31,CIN,10,--,--,--,--,--,--,--,--,72.7,-34.2,0
291,292,Chuba Hubbard,RB71,CAR,13,0,0,0,208,1.6,21,164,1.1,74.2,-35.1,0
292,293,Quez Watkins,WR90,PHI,14,0,0,0,16,0.1,37,479,3.1,105.5,-35.2,0
293,293,Byron Pringle,WR90,KC,12,0,0,0,0,0,39,445,3.7,105.5,-35.2,0
294,295,Ty Johnson,RB72,NYJ,6,0,0,0,341,2.4,14,95,0.2,73,-36.3,0
295,295,Joshua Kelley,RB72,LAC,7,0,0,0,242,2,19,138,0.6,73,-36.3,0
296,297,Chris Conley,WR92,HOU,10,0,0,0,9,0.1,42,461,2.4,104.2,-36.5,0
297,298,Jerick McKinnon,RB74,KC,12,0,0,0,246,2,17,122,1.2,72.6,-36.7,0
298,299,Boston Scott,RB75,PHI,14,0,0,0,303,2,15,118,0.6,72.3,-37,0
299,300,Rashod Bateman,WR93,BAL,8,0,0,0,26,0.2,33,424,4.1,103.3,-37.4,0
